Upload ID,ID,Submitted At (UTC),Submitter Name,DOI,Authors,Species,Year,Location,Latitude,Longitude,Sample Type,Experimental Duration (days),Notes,pCO2 (ppm),pCO2 SD,pCO2 SE,pH NBS,pH NBS SD,pH NBS SE,pH SWS,pH SWS SD,pH SWS SE,pH Tot,pH Tot SD,pH Tot SE,Temperature (°C),Temp SD,Temp SE,Salinity (psu),Sal SD,Sal SE,TA (μmol/kg),TA SD,TA SE,Omega A,Omega A SD,Omega A SE,Omega C,Omega C SD,Omega C SE,DIC (μmol/kg),DIC SD,DIC SE,CO3 (μmol/kg),CO3 SD,CO3 SE,HCO3 (μmol/kg),HCO3 SD,HCO3 SE,DO (μmol/kg),DO SD,DO SE,Irradiance (μmol/m2/s),Irr SD,Irr SE,Irradiance Total (mol quanta m-2day-1),Irr Total SD,Irr Total SE,N,Calcification Rate,Calcification Rate SD,Calcification Rate SE,Calcification Rate Unit
NQL2R4G9,12,2025-11-26 21:15:34 UTC,asdf,10.1111/jpy.13290,Bergstrom E.; Lahnstein J.; Collins H.; Page T.M.; Bulone V.; Diaz-Pulido G.,Lithothamnion proliferum,,"Lizard Island, GBR, Australia",-14.6922777777778,145.459236111111,,,,1028.0,,,,,,,,,7.694,,,29.5,,,35.1,,,2291.0,,,,,,,,,,,,,,,,,,,,,30.0,,,,,,5.0,1.97142857142857,0.19705827592627,0.440635700500051,mg cm-2day-1
NQL2R4G9,13,2025-11-26 21:15:34 UTC,asdf,10.1111/jpy.13290,Bergstrom E.; Lahnstein J.; Collins H.; Page T.M.; Bulone V.; Diaz-Pulido G.,Sporolithon cf durum,,"Lizard Island, GBR, Australia",-14.6922777777778,145.459236111111,,,,452.0,,,,,,,,,8.003,,,27.1,,,35.0,,,2292.0,,,,,,,,,,,,,,,,,,,,,30.0,,,,,,5.0,1.04794520547945,0.051089182647551,0.114238885314827,mg cm-2day-1
NQL2R4G9,14,2025-11-26 21:15:34 UTC,asdf,10.1111/jpy.13290,Bergstrom E.; Lahnstein J.; Collins H.; Page T.M.; Bulone V.; Diaz-Pulido G.,Sporolithon cf durum,,"Lizard Island, GBR, Australia",-14.6922777777778,145.459236111111,,,,473.0,,,,,,,,,7.98,,,29.4,,,35.0,,,2291.0,,,,,,,,,,,,,,,,,,,,,30.0,,,,,,5.0,0.575342465753425,0.051607867850517,0.115398700687582,mg cm-2day-1
NQL2R4G9,15,2025-11-26 21:15:34 UTC,asdf,10.1111/jpy.13290,Bergstrom E.; Lahnstein J.; Collins H.; Page T.M.; Bulone V.; Diaz-Pulido G.,Sporolithon cf durum,,"Lizard Island, GBR, Australia",-14.6922777777778,145.459236111111,,,,1015.0,,,,,,,,,7.698,,,27.2,,,35.0,,,2292.0,,,,,,,,,,,,,,,,,,,,,30.0,,,,,,5.0,0.493150684931507,0.0588420226649231,0.131574762612351,mg cm-2day-1
NQL2R4G9,16,2025-11-26 21:15:34 UTC,asdf,10.1111/jpy.13290,Bergstrom E.; Lahnstein J.; Collins H.; Page T.M.; Bulone V.; Diaz-Pulido G.,Sporolithon cf durum,,"Lizard Island, GBR, Australia",-14.6922777777778,145.459236111111,,,,1028.0,,,,,,,,,7.694,,,29.5,,,35.1,,,2291.0,,,,,,,,,,,,,,,,,,,,,30.0,,,,,,5.0,0.636986301369864,0.0364922733196799,0.0815992037963061,mg cm-2day-1
NQL2R4G9,17,2025-11-26 21:15:34 UTC,asdf,10.1038/s41598-019-40620-8,Briggs A.A.; Carpenter R.C.,Porolithon onkodes,,"Mo'orea, French Polynesia",-17.4779194444444,-149.839666666667,,,,406.1,,,,,,,,,8.029,,,27.5,,,35.3,,,2271.2,,,,,,,,,,,,,,,,,,,,,27.3,,,,,,32.0,0.460382510793497,0.0214880723836075,0.12155489357661,mg cm-2day-1
NQL2R4G9,18,2025-11-26 21:15:34 UTC,asdf,10.1038/s41598-019-40620-8,Briggs A.A.; Carpenter R.C.,Porolithon onkodes,,"Mo'orea, French Polynesia",-17.4779194444444,-149.839666666667,,,,406.1,,,,,,,,,8.029,,,27.5,,,35.3,,,2271.2,,,,,,,,,,,,,,,,,,,,,70.3,,,,,,32.0,0.460382510793497,0.030312171767752,0.171471537675751,mg cm-2day-1
NQL2R4G9,19,2025-11-26 21:15:34 UTC,asdf,10.1038/s41598-019-40620-8,Briggs A.A.; Carpenter R.C.,Porolithon onkodes,,"Mo'orea, French Polynesia",-17.4779194444444,-149.839666666667,,,,406.1,,,,,,,,,8.029,,,27.5,,,35.3,,,2271.2,,,,,,,,,,,,,,,,,,,,,423.5,,,,,,32.0,0.494916827475023,0.0175077506702045,0.0990387937777994,mg cm-2day-1
NQL2R4G9,20,2025-11-26 21:15:34 UTC,asdf,10.1038/s41598-019-40620-8,Briggs A.A.; Carpenter R.C.,Porolithon onkodes,,"Mo'orea, French Polynesia",-17.4779194444444,-149.839666666667,,,,995.2,,,,,,,,,7.702,,,27.4,,,35.4,,,2271.2,,,,,,,,,,,,,,,,,,,,,24.9,,,,,,32.0,0.532294370129949,0.017662854719827,0.09991619478002,mg cm-2day-1
NQL2R4G9,21,2025-11-26 21:15:34 UTC,asdf,10.1038/s41598-019-40620-8,Briggs A.A.; Carpenter R.C.,Porolithon onkodes,,"Mo'orea, French Polynesia",-17.4779194444444,-149.839666666667,,,,995.2,,,,,,,,,7.702,,,27.4,,,35.4,,,2271.2,,,,,,,,,,,,,,,,,,,,,63.4,,,,,,32.0,0.370871258152373,0.025384108063216,0.143594199566977,mg cm-2day-1
